Tick 2(0), Delay 3196 ms, IGT 00:00.000, RTA 00:-3.-196-00:00.000, due world load
Tick 3(0), Delay 481 ms, IGT 00:00.000, RTA 00:00.-481-00:00.000, due world load
Tick 4(0), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 5(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 6(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 7(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 8(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 9(0), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 10(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 11(0), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 12(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 13(1), Delay 42 ms, IGT 00:00.048, RTA 00:00.-02-00:00.040
Tick 22(10), Delay 61 ms, IGT 00:00.498, RTA 00:00.444-00:00.505
Tick 23(11), Delay 39 ms, IGT 00:00.548, RTA 00:00.505-00:00.544
Tick 25(13), Delay 72 ms, IGT 00:00.648, RTA 00:00.592-00:00.664
Tick 26(14), Delay 17 ms, IGT 00:00.698, RTA 00:00.664-00:00.681
Tick 27(15), Delay 59 ms, IGT 00:00.748, RTA 00:00.681-00:00.740
Tick 43(31), Delay 34 ms, IGT 00:01.548, RTA 00:01.496-00:01.530
Tick 48(36), Delay 58 ms, IGT 00:01.798, RTA 00:01.733-00:01.791
Tick 50(38), Delay 39 ms, IGT 00:01.898, RTA 00:01.843-00:01.882
Tick 68(56), Delay 59 ms, IGT 00:02.798, RTA 00:02.745-00:02.804
Tick 69(57), Delay 35 ms, IGT 00:02.848, RTA 00:02.804-00:02.839
Tick 82(70), Delay 34 ms, IGT 00:03.498, RTA 00:03.446-00:03.480
Tick 86(74), Delay 56 ms, IGT 00:03.698, RTA 00:03.631-00:03.687
Tick 100(88), Delay 35 ms, IGT 00:04.398, RTA 00:04.345-00:04.380
Tick 116(104), Delay 42 ms, IGT 00:05.198, RTA 00:05.137-00:05.179
Tick 125(113), Delay 55 ms, IGT 00:05.648, RTA 00:05.581-00:05.636
Tick 126(114), Delay 55 ms, IGT 00:05.698, RTA 00:05.636-00:05.691
Tick 143(131), Delay 56 ms, IGT 00:06.548, RTA 00:06.495-00:06.551
Tick 144(132), Delay 34 ms, IGT 00:06.598, RTA 00:06.551-00:06.585
Tick 162(150), Delay 39 ms, IGT 00:07.498, RTA 00:07.446-00:07.485
Tick 176(164), Delay 38 ms, IGT 00:08.198, RTA 00:08.146-00:08.184
Tick 194(182), Delay 37 ms, IGT 00:09.098, RTA 00:09.044-00:09.081
